"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Anomaly Detection-Aided Active Learning","G. Nigmatulin; K. Pavlov","Samsung R&D Institute Russia, Moscow, Russia; Samsung R&D Institute Russia, Moscow, Russia",GLOBECOM 2023 - 2023 IEEE Global Communications Conference,"26 Feb 2024","2023","","","1616","1619","This study proposes an adaptive human-in-the-loop process that accelerates the creation of AI models from scratch by prioritizing the most uncertain samples as the top candidates for annotation (Active learning) and discarding ones that are adverse to training by abnormality score (Anomaly detection). The integrated system, combining ensembles of gradient-boosted trees (GBDT) for Uncertainty quantification and a One-Class Support Vector Machine (OC-SVM) for Anomaly detection, was validated with a large and noisy dataset when creating a regression model of extracellular/total body water (ECW/TBW) estimation on smartwatches' data. A total of 549 human subjects participated in 2196 measurement tests. ECW/TBW contributing factors, such as users' anthropometric parameters, bioimpedance were distributed over a wide range of values. The performance of the fully automatic planning system provides a 42% reduction in the number of necessary data labels for training a regression model, from 1310 to 541 experiments compared to the classic active learning approach. The proposed approach provides a significant reduction in monetary costs and the duration of data collection. The article presents the absence of a correlation between different types of uncertainty (total, data, knowledge) and abnormality, which motivates the use of the proposed approach. Also, the regression model's performance for estimating the ECW/TBW ratio is evaluated.","2576-6813","979-8-3503-1090-0","10.1109/GLOBECOM54140.2023.10437856","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10437856","active learning;anomaly detection;uncertainty quantification;human-in-the-loop;machine learning;wearable sensors;bioimpedance;extracellular/total body water","Training;Support vector machines;Uncertainty;Biological system modeling;Data models;Planning;Anomaly detection","","","","17","IEEE","26 Feb 2024","4-8 Dec. 2023","4-8 Dec. 2023","IEEE","IEEE Conferences"
"Human-in-the-Loop Hybrid Neuro-Symbolic AI Model for Reliable Data Engineering in High-Stakes Industrial Systems","M. Krishnan; A. R. Aitha; K. Amistapuram; B. P. Nandan; P. K. Kaulwar; J. Singireddy","Dept. of EEE, Dr.Mahalingam College of Engineering and Technology, Pollachi, Tamilnadu; State Compensation Insurance Fund, Sacramento, California, United States; Chubb, New Jersey; ASML, Wilton, CT; KPMG, Dallas; Intuit Inc, USA",2025 IEEE 3rd Global Conference on Wireless Computing and Networking (GCWCN),"25 Mar 2026","2025","","","1","7","Industrial systems require dependable, interpretable, and resilient AI for critical decision-making; however, conventional neural models falter in edge situations and explainability, whereas symbolic systems exhibit limited adaptability. The proposed study introduces a Human-in-the-Loop Hybrid Neuro-Symbolic AI Model (HNSRM) that integrates deep learning for sensor and temporal feature extraction with symbolic reasoning and expert-guided feedback mechanisms. The proposed approach integrates adaptive rule writing, active learning, and data quality assurance to provide consistent and interpretable predictions. Experiments were performed on industrial datasets sourced from Kaggle, including turbofan engine degradation, sensor failure, and manufacturing process datasets. The results indicate an Accuracy of 98.9%, Precision of 98.6%, Recall of 99.1%, F1-score of 98.8%, and AUC-ROC of 0.997, superior to the baseline CNN-LSTM, Decision Tree, and XGBoost models. HITL interventions boosted dependability and diminished misclassifications, but symbolic limitations enhanced transparency and adherence. The suggeted study demonstrates a viable method for combining human expertise with AI to develop robust, interpretable, and secure models for industrial applications, significantly enhancing accuracy, explainability, and operational reliability compared to mainly neural or symbolic approaches.","","979-8-3315-0335-2","10.1109/GCWCN66157.2025.11448516","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11448516","Human-in-the-Loop;Hybrid Neuro-Symbolic AI;Data Engineering;High-Stakes Industrial Systems;Predictive Maintenance;Symbolic Reasoning;Neural Networks;Active Learning;Explainable AI;Reliability;Anomaly Detection;Data Quality;Industrial AI;Rule-Based Inference;Workflow Automation;Data Provenance;Safety Compliance","Adaptation models;Accuracy;Data integrity;Data engineering;Reliability engineering;Brain modeling;Human in the loop;Cognition;Data models;Predictive maintenance","","","","19","IEEE","25 Mar 2026","22-23 Nov. 2025","22-23 Nov. 2025","IEEE","IEEE Conferences"
"Online Unsupervised Anomaly Detection with Model Explainability and Human-in-the-Loop Feedback","A. Oacheşu; I. K. J. Lundh; K. S. Adewole; J. A. Persson; F. Karlsson","Department of Computer Science and Media Technology, Malmö University, Malmö, Sweden; Department of Computer Science and Media Technology, Malmö University, Malmö, Sweden; Department of Computer Science and Media Technology, Malmö University, Malmö, Sweden; Department of Computer Science and Media Technology, Malmö University, Malmö, Sweden; Sony Network Communications Europe, Malmö, Sweden",2026 13th International Conference on Future Internet of Things and Cloud (FiCloud),"26 Aug 2026","2026","","","35","42","Smart building IoT networks generate complex, continuous sensor streams that challenge traditional anomaly detection due to concept drift and limited interpretability. This project proposes and validates an online, unsupervised, and human-refinable anomaly detection architecture. The system uses a parallel inference engine to simultaneously run two models: a high-accuracy deep transformer and a lightweight spectral CNN, both deployed in a real-time Streamlit prototype with Kafka ingestion and edge hardware benchmarking. To ensure interpretability, the architecture integrates a realtime explainability module using Shapley Additive Explanations (SHAP) and a Human-in-the-Loop (HITL) feedback mechanism to validate detections. Experimental results from a controlled streaming simulation demonstrate that the Online Transformer adapts to distribution shifts via dynamic thresholding, achieving 93% precision. At the same time, the SR-CNN offers superior efficiency (< 10 ms latency) with 96% precision. The integration of SHAP achieved a 98.1% convergence rate within the 2-second transmission window, indicating that 68% of detected faults were “Contextual Anomalies”-subtle history conflicts that are invisible to static thresholds. Integrating online representation learning with HITL feedback creates a strong anomaly detection system for dynamic edge environments.","2996-1017","979-8-3195-4739-2","10.1109/FiCloud70576.2026.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11659628","Anomaly Detection;SR-CNN;Online Transformer;SHAP;HITL;Concept Drift","Modeling;Timing;Transformers;Human in the loop;Internet of Things;Convolutional neural networks;Image sensors;Strontium;Real-time systems;Anomaly detection","","","","17","IEEE","26 Aug 2026","20-22 July 2026","20-22 July 2026","IEEE","IEEE Conferences"
"Learning to Assist Different Wearers in Multitasks: Efficient and Individualized Human-in-the-Loop Adaptation Framework for Lower-Limb Exoskeleton","Y. Chen; S. Miao; G. Chen; J. Ye; C. Fu; B. Liang; S. Song; X. Li","Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China; Shenzhen MileBot Robotics Company Ltd., Shenzhen, China; Shenzhen MileBot Robotics Company Ltd., Shenzhen, China; Department of Mechanical and Energy Engineering, Southern University of Science and Technology, Shenzhen, China; Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China",IEEE Transactions on Robotics,"16 Oct 2024","2024","40","","4699","4718","One of the typical purposes of using lower-limb exoskeleton robots is to provide assistance to the wearer by supporting their weight and augmenting their physical capabilities according to a given task and human motion intentions. The generalizability of robots across different wearers in multiple tasks is important to ensure that the robot can provide correct and effective assistance in actual implementation. However, most lower-limb exoskeleton robots exhibit only limited generalizability. Therefore, this article proposes a human-in-the-loop learning and adaptation framework for exoskeleton robots to improve their performance in various tasks and for different wearers. To suit different wearers, an individualized walking trajectory is generated online using dynamic movement primitives and Bayes optimization. To accommodate various tasks, a task translator is constructed using a neural network to generalize a trajectory to more complex scenarios. These generalization techniques are integrated into a unified variable impedance model, which regulates the exoskeleton to provide assistance while ensuring safety. In addition, an anomaly detection network is developed to quantitatively evaluate the wearer's comfort, which is considered in the trajectory learning procedure and contributes to the relaxation of conflicts in impedance control. The proposed framework is easy to implement, because it requires proprioceptive sensors only to perform and deploy data-efficient learning schemes. This makes the exoskeleton practical for deployment in complex scenarios, accommodating different walking patterns, habits, tasks, and conflicts. Experiments and comparative studies on a lower-limb exoskeleton robot are performed to demonstrate the effectiveness of the proposed framework.","1941-0468","","10.1109/TRO.2024.3468768","Science and Technology Innovation 2030-Key Project(grant numbers:2021ZD0201404); Institute for Guo Qiang, Tsinghua University; Shenzhen Science and Technology Program(grant numbers:KQTD20200909114235003); National Natural Science Foundation of China(grant numbers:U21A20517,52075290); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10695031","Lower-limb exoskeleton;multitask walking;online adaptation to wearers;proprioceptive sensors","Robots;Exoskeletons;Legged locomotion;Impedance;Trajectory;Sensors;Motors","","32","","57","IEEE","26 Sep 2024","2024","","IEEE","IEEE Journals"
"Memory-Bounded A/RED: Scalable Active Detection of Rare Relevant Events in Indefinite Length Streams","R. Loveland; N. Clark; J. Gentile; C. Ritter","Dept. of Computer Science, New College of Florida, Sarasota, USA; Dept. of Computer Science, New College of Florida, Sarasota, USA; Dept. of Computer Science, New College of Florida, Sarasota, USA; Dept. of Computer Science, New College of Florida, Sarasota, USA",2026 International Conference on AI x Data and Knowledge Engineering (AIxDKE),"22 Apr 2026","2026","","","54","59","We present a memory-bounded, real-time Anomalous/Relevant Event Detection (A/RED) system for indefinitely long data streams. Extending prior work, our algorithm maintains bounded memory using a circular buffer of queried points and accelerates nearest-neighbor search via ball trees, reducing complexity from $O\left(n^{2}\right)$ to $O(\log n)$ per point. Small clusters are periodically merged to control model size, while a tunable paranoia parameter $\kappa$ regulates query rate. Evaluated on synthetic (NICE), projected (MNIST-2D), and high-dimensional (EMNIST) streams, A/RED achieves near-perfect relevant recall and query precision on well-separated data, and significantly outperforms random querying on challenging real-world distributions discovering rare relevant classes with minimal user burden. This work enables scalable, human-in-the-loop anomaly detection in continuous, high-volume sensor environments.","2831-7203","979-8-3315-4750-9","10.1109/AIxDKE67294.2026.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11486577","anomaly detection;active learning;online;rare category detection","Feedback;Circuits;Radio access networks;Regional area networks;Event detection;Protocols;Wireless sensor networks;HTTP;Amplitude shift keying;Communication systems","","","","17","IEEE","22 Apr 2026","2-4 Feb. 2026","2-4 Feb. 2026","IEEE","IEEE Conferences"
"Generative AI-Powered Digital Twins in Aviation: A Framework for Intelligent Simulation and Decision Making","A. Dubey","DataFlux.ai, Seattle, WA, USA",2025 IEEE International Symposium on Emerging Metaverse (ISEMV),"12 Jan 2026","2025","","","150","156","Digital twins have emerged as valuable tools across industries, enabling real-time monitoring, simulation, and opti-mization of complex industrial systems. Recent developments in generative AI have unlocked significant capabilities, improving the adoption and intelligence of digital twin technology. This paper presents a framework that integrates neural networks, autoencoders, and large language models with aviation digital twin architectures to enable data-centric simulations and machine learning-based prediction capabilities. I described how generative AI can create high-fidelity virtual environments, intelligently impute missing data, simulate unobserved scenarios, and enable zero-shot adaptation across aviation manufacturing and logistics domains. The proposed approach addresses real-world aviation scenarios, including predictive maintenance in aircraft manufac-turing, logistics inventory optimization, and network anomaly de-tection. The framework dynamically integrates multimodal data from Industrial Internet of Things (IIoT) sensors, enterprise re-source planning systems, and supply chain networks. I discussed implementation challenges, ethical and security considerations, scalability issues, and human-centric design requirements for generative AI digital twins in aerospace manufacturing. This research contributes to the conceptual development of next-generation self-aware, self-improving, intelligent cyber-physical systems in aerospace.","","979-8-3315-4890-2","10.1109/ISEMV67326.2025.00034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11327829","digital twins;generative AI;aviation manufac-turing;bidirectional systems;cyber-physical systems;variational autoencoders;graph neural networks","Generative AI;Autoencoders;Collaboration;Sensor systems;Digital twins;Safety;Manufacturing;Optimization;Monitoring;Predictive maintenance","","1","","12","IEEE","12 Jan 2026","19-20 Oct. 2025","19-20 Oct. 2025","IEEE","IEEE Conferences"
"MetaCortex Architecture: Cognitive Detection and Adaptation in Intelligent Control Systems","P. A. Panilov; T. Y. Tsibizova","Bauman Moscow State Technical University, Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation",2025 International Ural Conference on Electrical Power Engineering (UralCon),"28 Oct 2025","2025","","","71","76","Industrial automation systems increasingly operate in complex, dynamic, and adversarial environments, where traditional control models and machine learning approaches often fail to provide both adaptivity and interpretability. This paper introduces MetaCortex, a novel cognitive architecture that integrates graph-based structural modeling with layered cognitive processing - structural, conceptual, and reflective - to support real-time anomaly detection and adaptive decision-making in automated systems. Unlike symbolic or neural approaches, MetaCortex uses a dynamic knowledge graph to represent both the system's operational state and its evolving internal representations. The architecture enables context-aware reasoning and interpretable adaptation through cognitive reframing and structural reconfiguration mechanisms. We evaluate MetaCortex in a simulated industrial scenario with three distinct perturbations: sensor drift, task reassignment, and cyber-injection attacks. Experimental results demonstrate improved anomaly detection accuracy, lower false alarm rates, and better adaptability compared to threshold-based and simple ML baselines. The system provides explainable outputs, supporting human-in-the-loop decisions and system selfrecovery. MetaCortex offers a promising direction for cognitive modeling in industrial control, with applications in anomaly diagnosis, cybersecurity, and intelligent automation.","","979-8-3315-5323-4","10.1109/UralCon67204.2025.11206657","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11206657","cognitive architecture;industrial automation;anomaly detection;adaptive control;structural modeling;interpretable AI;cognitive reframing","Adaptation models;Power engineering;Perturbation methods;Decision making;Machine learning;Knowledge graphs;Real-time systems;Protection;Anomaly detection;Context modeling","","2","","14","IEEE","28 Oct 2025","25-28 Sept. 2025","25-28 Sept. 2025","IEEE","IEEE Conferences"
"Extended AI Architectures for Wearable-Driven and Remote Healthcare Systems","A. Mishra; U. Tiwari; V. Dhote; A. Malhotra; K. Adilakshmi; V. Roy","Department of Electronics & Communication Engineering, Gyan Ganga Institute of Technology and Sciences, Jabalpur, India; Electrical Electronics and Communication Engineering, Sharda University, Greater Noida, U. P., India; Department of Computer Science Engineering, IES College of Technology, Bhopal, India; Center of Excellence-Cyber security, K.R. Mangalam University, gurugram, India; Department of CSE, GRIET, Hyderabad, Telangana, India; GGITS, Jabalpur, MP, India",2026 5th OPJU International Technology Conference (OTCON) on Smart Computing for Innovation and Advancement in Industry 5.0,"11 Aug 2026","2026","","","1","6","It provides a long-term AI systems to achieve wearable-based and remote clinical systems that feature multilayered sensing, edge deep learning, and federated learning and cloud orchestration to enable continuous, personalized, and privacy-sensitive care. The suggested structure combines multimodal bio signals, context-related information and electronic health records with the help of adaptive feature extraction and attention-focused neural components that can provide real-time anomaly reports, trend prediction and automatic triage. Lightweight on-device personalization and edge-embedded models allow performing the latency practicing inference and maintaining user privacy, respectively, and updated global models without data transfer between the server and the device between recent factions. A resilience layer provides fault tolerance and a secured data provenance and an interoperability module translates device output into the clinical standards FHIR and HL7 to integrate successfully with the telehealth platform. Assessment on both synthetic and real-world datasets show enhanced sensitivity on early warnings, lowered false alarms and being able to be scaled to heterogeneous machines. Discussed are issues in energy efficiency, regulatory compliance and human-in-the-loop validation. The design is expected to provide rapid safe implementation of remote monitoring to strike a balance between accuracy, responsiveness, and clinical usability to allow wide and fair implementation.","","979-8-3315-6149-9","10.1109/OTCON69332.2026.11629839","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11629839","Wearable healthcare;remote patient monitoring;extended AI architectures;edge intelligence;federated learning;multimodal bio signals;privacy-preserving analytics;telehealth systems;real-time anomaly detection","Modeling;Medical services;Wearable devices;Artificial intelligence;Architecture;Computer architecture;Privacy;Federated learning;Printing;Equations","","","","19","IEEE","11 Aug 2026","26-28 June 2026","26-28 June 2026","IEEE","IEEE Conferences"
"SMART-IC: Smart Monitoring and Production Optimization for Zero-waste Semiconductor Manufacturing","K. S. Sidahmed Alamin; Y. Chen; S. Gaiardelli; S. Spellini; A. Calimera; A. Beghi; A. Susto; F. Fummi; E. Macii; S. Vinco","Politecnico di Torino, Italy; Politecnico di Torino, Italy; University of Verona, Italy; University of Verona, Italy; Politecnico di Torino, Italy; University of Padova, Italy; University of Padova, Italy; University of Verona, Italy; Politecnico di Torino, Italy; Politecnico di Torino, Italy",2022 IEEE 23rd Latin American Test Symposium (LATS),"14 Nov 2022","2022","","","1","6","The Industry 4.0 revolution introduced decentralized, self-organizing, and self-learning systems for production control. New machine learning algorithms are getting increasingly powerful to solve real-world problems, like predictive maintenance and anomaly detection. However, many data-driven applications are still far from being optimized to cover many aspects and the complexity of modern industries; correlations between smart monitoring, production scheduling, and anomaly detection/predictive maintenance have only been partially exploited. This paper proposes to develop new data-driven approaches for smart monitoring and production optimization, targeting semiconductor manufacturing, one of the most technologically advanced and data-intensive industrial sectors, where process quality, control, and simulation tools are critical for decreasing costs and increasing yield. The goal is to reduce defect generation at the electronic component level and its propagation to the system- and system-of-systems- level by working on (1) enhanced anomaly detection, based on the human-in-the-loop concept and on advanced treatment of multiple time-series and of domain adaptation, (2) smart and predictive maintenance based on both objective data traces and simulated ones, to mitigate the risk of degrading product quality, and (3) the construction of an extended manufacturing software stack that allows anomaly- and maintenance-aware policies to enhance production line scheduling and optimization.","2373-0862","978-1-6654-5707-1","10.1109/LATS57337.2022.9937011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9937011","","Job shop scheduling;Production;Quality control;Production control;Semiconductor device manufacture;Quality assessment;Optimization","","5","","27","IEEE","14 Nov 2022","5-8 Sept. 2022","5-8 Sept. 2022","IEEE","IEEE Conferences"
